Time [s], HR, PULSE, RESP, SpO2
468,91.0,90.0,21.0,97.0
469,91.0,90.0,21.0,97.0
470,91.0,90.0,21.0,97.0
471,91.0,90.0,21.0,97.0
472,91.0,90.0,21.0,97.0
473,91.0,90.0,21.0,97.0
474,90.0,90.0,21.0,97.0
475,90.0,90.0,21.0,96.0
476,90.0,90.0,21.0,96.0
477,90.0,90.0,21.0,96.0
478,90.0,90.0,21.0,96.0
479,90.0,90.0,20.0,96.0
480,90.0,90.0,20.0,96.0
0,93.0,92.0,16.0,100.0
1,93.0,93.0,16.0,100.0
2,93.0,93.0,16.0,100.0
3,94.0,94.0,16.0,100.0
4,94.0,94.0,16.0,100.0
5,94.0,94.0,16.0,100.0
6,94.0,94.0,16.0,100.0
7,93.0,94.0,16.0,100.0
8,93.0,94.0,16.0,100.0
9,93.0,94.0,16.0,100.0
10,92.0,94.0,16.0,100.0
11,92.0,94.0,16.0,100.0
12,92.0,94.0,16.0,100.0
13,92.0,93.0,16.0,100.0
14,91.0,93.0,16.0,100.0
15,91.0,93.0,16.0,100.0
16,91.0,93.0,16.0,100.0
17,91.0,92.0,16.0,100.0
18,91.0,92.0,16.0,100.0
19,91.0,92.0,16.0,100.0
20,91.0,91.0,16.0,100.0
21,91.0,91.0,16.0,100.0
22,91.0,91.0,16.0,100.0
23,90.0,91.0,16.0,100.0
24,90.0,91.0,16.0,100.0
25,90.0,90.0,16.0,100.0
26,90.0,90.0,16.0,100.0
27,90.0,90.0,16.0,100.0
28,90.0,90.0,16.0,100.0
29,90.0,89.0,16.0,100.0
30,90.0,89.0,16.0,100.0
31,90.0,89.0,16.0,100.0
32,90.0,89.0,16.0,100.0
33,91.0,89.0,16.0,100.0
34,91.0,89.0,16.0,100.0
35,91.0,89.0,16.0,100.0
36,91.0,89.0,16.0,100.0
37,91.0,89.0,16.0,100.0
38,91.0,89.0,16.0,100.0
39,91.0,90.0,16.0,100.0
40,92.0,90.0,16.0,100.0
41,92.0,90.0,16.0,100.0
42,92.0,90.0,16.0,100.0
43,92.0,90.0,16.0,100.0
44,92.0,91.0,16.0,100.0
45,92.0,91.0,16.0,100.0
46,92.0,91.0,16.0,100.0
47,92.0,91.0,16.0,100.0
48,91.0,91.0,16.0,100.0
49,91.0,92.0,16.0,100.0
50,91.0,92.0,16.0,100.0
51,90.0,92.0,16.0,100.0
52,90.0,92.0,16.0,100.0
53,90.0,92.0,16.0,100.0
54,90.0,91.0,16.0,100.0
55,90.0,91.0,16.0,100.0
56,90.0,91.0,16.0,100.0
57,89.0,90.0,16.0,100.0
58,89.0,90.0,16.0,100.0
59,89.0,90.0,16.0,100.0
60,90.0,89.0,16.0,100.0
61,90.0,89.0,16.0,100.0
62,90.0,89.0,16.0,100.0
63,90.0,89.0,16.0,100.0
64,90.0,89.0,16.0,100.0
65,90.0,89.0,16.0,100.0
66,90.0,88.0,16.0,100.0
67,90.0,88.0,16.0,100.0
68,91.0,88.0,16.0,100.0
69,91.0,88.0,16.0,100.0
70,91.0,89.0,16.0,100.0
71,92.0,89.0,16.0,100.0
72,92.0,89.0,16.0,100.0
73,92.0,90.0,16.0,100.0
74,92.0,90.0,16.0,100.0
75,92.0,91.0,16.0,100.0
76,93.0,91.0,16.0,100.0
77,93.0,91.0,16.0,100.0
78,93.0,91.0,16.0,100.0
79,93.0,91.0,16.0,100.0
80,93.0,92.0,16.0,100.0
81,93.0,92.0,16.0,100.0
82,93.0,92.0,16.0,100.0
83,93.0,93.0,16.0,100.0
84,93.0,93.0,16.0,100.0
85,93.0,93.0,15.0,100.0
86,92.0,93.0,15.0,100.0
87,92.0,93.0,15.0,100.0
88,92.0,94.0,15.0,100.0
89,92.0,93.0,15.0,100.0
90,91.0,93.0,15.0,100.0
91,91.0,93.0,15.0,100.0
92,91.0,93.0,15.0,100.0
93,91.0,92.0,15.0,100.0
94,90.0,92.0,15.0,100.0
95,90.0,92.0,15.0,100.0
96,90.0,91.0,15.0,100.0
97,90.0,91.0,15.0,100.0
98,90.0,91.0,15.0,100.0
99,90.0,91.0,15.0,100.0
100,90.0,91.0,15.0,100.0
101,90.0,90.0,15.0,100.0
102,90.0,90.0,15.0,100.0
103,89.0,90.0,15.0,100.0
104,89.0,89.0,15.0,100.0
105,89.0,89.0,15.0,100.0
106,89.0,89.0,15.0,100.0
107,89.0,89.0,15.0,100.0
108,89.0,89.0,15.0,100.0
109,89.0,89.0,15.0,100.0
110,89.0,89.0,15.0,100.0
111,89.0,89.0,15.0,100.0
112,89.0,89.0,15.0,100.0
113,89.0,89.0,15.0,100.0
114,89.0,89.0,15.0,100.0
115,90.0,89.0,15.0,100.0
116,90.0,89.0,15.0,100.0
117,90.0,89.0,15.0,100.0
118,91.0,89.0,15.0,100.0
119,91.0,89.0,15.0,100.0
120,91.0,89.0,15.0,100.0
121,92.0,89.0,15.0,100.0
122,92.0,89.0,15.0,100.0
123,92.0,89.0,15.0,100.0
124,92.0,89.0,15.0,100.0
125,92.0,90.0,15.0,100.0
126,92.0,90.0,15.0,100.0
127,92.0,91.0,15.0,100.0
128,93.0,91.0,15.0,100.0
129,92.0,91.0,15.0,100.0
130,92.0,92.0,15.0,100.0
131,92.0,92.0,15.0,100.0
132,92.0,92.0,15.0,100.0
133,92.0,92.0,15.0,100.0
134,92.0,92.0,15.0,100.0
135,91.0,92.0,15.0,100.0
136,91.0,92.0,15.0,100.0
137,91.0,92.0,15.0,100.0
138,91.0,92.0,15.0,100.0
139,91.0,92.0,15.0,100.0
140,91.0,91.0,15.0,100.0
141,91.0,91.0,15.0,100.0
142,91.0,90.0,15.0,100.0
143,91.0,90.0,15.0,100.0
144,91.0,90.0,15.0,100.0
145,91.0,90.0,15.0,100.0
146,91.0,89.0,15.0,100.0
147,91.0,90.0,15.0,100.0
148,90.0,90.0,16.0,100.0
149,90.0,90.0,16.0,100.0
150,90.0,90.0,16.0,100.0
151,90.0,90.0,16.0,100.0
152,90.0,90.0,16.0,100.0
153,90.0,90.0,16.0,100.0
154,90.0,90.0,16.0,100.0
155,90.0,89.0,16.0,100.0
156,90.0,89.0,16.0,100.0
157,90.0,88.0,16.0,100.0
158,90.0,88.0,16.0,100.0
159,90.0,88.0,16.0,100.0
160,91.0,88.0,16.0,100.0
161,91.0,88.0,16.0,100.0
162,91.0,88.0,16.0,100.0
163,91.0,89.0,16.0,100.0
164,91.0,89.0,16.0,100.0
165,92.0,90.0,16.0,100.0
166,92.0,90.0,15.0,100.0
167,92.0,90.0,15.0,100.0
168,92.0,90.0,15.0,100.0
169,92.0,90.0,15.0,100.0
170,92.0,90.0,15.0,100.0
171,92.0,91.0,15.0,100.0
172,92.0,91.0,15.0,100.0
173,92.0,92.0,15.0,100.0
174,92.0,92.0,15.0,100.0
175,92.0,92.0,15.0,100.0
176,92.0,92.0,15.0,100.0
177,92.0,92.0,15.0,100.0
178,92.0,92.0,15.0,100.0
179,91.0,92.0,15.0,100.0
180,91.0,92.0,15.0,100.0
181,91.0,92.0,14.0,100.0
182,91.0,93.0,14.0,100.0
183,90.0,92.0,14.0,100.0
184,90.0,92.0,14.0,100.0
185,90.0,92.0,14.0,100.0
186,90.0,92.0,14.0,100.0
187,90.0,91.0,14.0,100.0
188,90.0,90.0,14.0,100.0
189,90.0,90.0,14.0,100.0
190,90.0,90.0,14.0,100.0
191,90.0,90.0,14.0,100.0
192,90.0,90.0,14.0,100.0
193,90.0,90.0,14.0,100.0
194,90.0,89.0,14.0,100.0
195,90.0,90.0,14.0,100.0
196,90.0,90.0,14.0,100.0
197,90.0,90.0,14.0,100.0
198,90.0,90.0,15.0,100.0
199,90.0,90.0,15.0,100.0
200,90.0,89.0,15.0,100.0
201,90.0,89.0,15.0,100.0
202,90.0,89.0,15.0,100.0
203,91.0,89.0,15.0,100.0
204,91.0,89.0,15.0,100.0
205,91.0,89.0,15.0,100.0
206,91.0,89.0,15.0,100.0
207,91.0,89.0,15.0,100.0
208,89.0,89.0,15.0,100.0
209,91.0,89.0,15.0,100.0
210,91.0,89.0,15.0,100.0
211,91.0,90.0,15.0,100.0
212,91.0,90.0,15.0,100.0
213,91.0,90.0,15.0,100.0
214,90.0,90.0,15.0,100.0
215,90.0,90.0,15.0,100.0
216,90.0,90.0,15.0,100.0
217,90.0,90.0,15.0,100.0
218,91.0,90.0,15.0,100.0
219,91.0,90.0,15.0,100.0
220,91.0,90.0,15.0,100.0
221,91.0,90.0,15.0,100.0
222,91.0,90.0,15.0,100.0
223,92.0,90.0,15.0,100.0
224,92.0,89.0,15.0,100.0
225,92.0,90.0,15.0,100.0
226,92.0,90.0,15.0,100.0
227,92.0,90.0,15.0,100.0
228,92.0,90.0,15.0,100.0
229,93.0,90.0,15.0,100.0
230,93.0,91.0,15.0,100.0
231,93.0,91.0,15.0,100.0
232,94.0,91.0,15.0,100.0
233,93.0,92.0,15.0,100.0
234,92.0,92.0,15.0,100.0
235,92.0,92.0,15.0,100.0
236,92.0,92.0,15.0,100.0
237,92.0,93.0,15.0,100.0
238,92.0,93.0,15.0,100.0
239,91.0,93.0,15.0,100.0
240,91.0,93.0,15.0,100.0
241,91.0,92.0,15.0,100.0
242,91.0,92.0,15.0,100.0
243,91.0,91.0,15.0,100.0
244,91.0,90.0,15.0,100.0
245,90.0,90.0,15.0,100.0
246,90.0,89.0,15.0,100.0
247,90.0,89.0,15.0,100.0
248,90.0,89.0,15.0,100.0
249,90.0,89.0,15.0,100.0
250,90.0,90.0,15.0,100.0
251,89.0,90.0,15.0,100.0
252,89.0,90.0,15.0,100.0
253,89.0,89.0,15.0,100.0
254,89.0,89.0,15.0,100.0
255,89.0,89.0,15.0,100.0
256,89.0,89.0,15.0,100.0
257,89.0,89.0,15.0,100.0
258,90.0,88.0,15.0,100.0
259,90.0,88.0,15.0,100.0
260,90.0,88.0,15.0,100.0
261,91.0,88.0,15.0,100.0
262,91.0,88.0,15.0,100.0
263,91.0,88.0,15.0,100.0
264,92.0,89.0,15.0,100.0
265,92.0,89.0,15.0,100.0
266,92.0,89.0,15.0,100.0
267,92.0,90.0,15.0,100.0
268,92.0,90.0,15.0,100.0
269,92.0,90.0,15.0,100.0
270,92.0,91.0,15.0,100.0
271,92.0,91.0,15.0,100.0
272,92.0,91.0,15.0,100.0
273,92.0,92.0,15.0,100.0
274,92.0,92.0,15.0,100.0
275,92.0,92.0,15.0,100.0
276,92.0,92.0,15.0,100.0
277,92.0,92.0,15.0,100.0
278,91.0,92.0,15.0,100.0
279,91.0,92.0,15.0,100.0
280,90.0,92.0,15.0,100.0
281,90.0,92.0,15.0,100.0
282,90.0,91.0,15.0,100.0
283,90.0,91.0,15.0,100.0
284,89.0,91.0,15.0,100.0
285,89.0,91.0,15.0,100.0
286,89.0,90.0,15.0,100.0
287,89.0,90.0,15.0,100.0
288,89.0,90.0,15.0,100.0
289,88.0,89.0,15.0,100.0
290,88.0,89.0,15.0,100.0
291,88.0,89.0,15.0,100.0
292,88.0,88.0,15.0,100.0
293,87.0,88.0,15.0,100.0
294,87.0,88.0,15.0,100.0
295,87.0,88.0,15.0,100.0
296,87.0,87.0,15.0,100.0
297,87.0,87.0,15.0,100.0
